SMILES
[*]C(=O)c1ccc(cc1)[*]
[*]C(=O)c1ccc(cc1)O[*]
[*]C(=O)c1ccc(cc1)N[*]
c12c(cc3c(c1)c(=O)n(c3=O)[*])c(=O)n(c2=O)[*]
c12c(cc(cc1)c1ccc3c(c1)C(=O)N(C3=O)[*])C(=O)N(C2=O)[*]
c12c(cc(cc1)c1ccc(cc1)c1ccc3c(c1)C(=O)N(C3=O)[*])C(=O)N(C2=O)[*]
[*]C(=O)c1ccc(cc1)C(=O)[*]
[*]C(=O)c1ccc(cc1)c2ccc(cc2)C(=O)[*]
[*]C(=O)c1ccc(cc1)c2ccc(cc2)c3ccc(cc3)C(=O)[*]
[*]Oc1ccc(cc1)O[*]
[*]Oc1ccc(cc1)c2ccc(cc2)O[*]
[*]Oc1ccc(cc1)c2ccc(cc2)c3ccc(cc3)O[*]
[*]C(=O)c1ccc(cc1)C=Cc2ccc(cc2)C(=O)[*]
[*]C(=O)c1ccc(cc1)C=Cc2ccc(cc2)O[*]
[*]Oc1ccc(cc1)C=Cc2ccc(cc2)O[*]
[*]C(=O)c1ccc(cc1)N=Cc2ccc(cc2)C(=O)[*]
[*]C(=O)c1ccc(cc1)N=Cc2ccc(cc2)O[*]
[*]Oc1ccc(cc1)N=Cc2ccc(cc2)O[*]
[*]C(=O)c1ccc(cc1)N=Nc2ccc(cc2)C(=O)[*]
[*]C(=O)c1ccc(cc1)N=Nc2ccc(cc2)O[*]
[*]Oc1ccc(cc1)N=Nc2ccc(cc2)O[*]
c12c(cc3c(c1)nc(o3)c1ccc(cc1)[*])oc(n2)c1ccc(cc1)[*]
c12c(cc3c(c1)nc([nH]3)c1ccc(cc1)[*])[nH]c(n2)c1ccc(cc1)[*]
c12c(cc3c(c1)nc(s3)c1ccc(cc1)[*])sc(n2)c1ccc(cc1)[*]
